,PostalCode,Borough,Neighborhood,Latitude,Longitude
0,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
1,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371
2,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
3,M4E,East Toronto,The Beaches,43.6763574,-79.2930312
4,M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064
5,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
6,M6G,Downtown Toronto,Christie,43.669542,-79.4225637
7,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6505712,-79.3845675
8,M6H,West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593
9,M4J,East York/East Toronto,The Danforth  East,43.685347,-79.3381065
10,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523
11,M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497
12,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
13,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.3815764
14,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914
15,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716
16,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169
17,M4M,East Toronto,Studio District,43.6595255,-79.340923
18,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
19,M5N,Central Toronto,Roselawn,43.7116948,-79.4169356
20,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
21,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.4113072
22,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633
23,M4R,Central Toronto,North Toronto West,43.7153834,-79.4056784
24,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784
25,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
26,M4S,Central Toronto,Davisville,43.7043244,-79.3887901
27,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
28,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
29,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599
30,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
31,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493
32,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
33,M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294
34,M5W,Downtown Toronto Stn A,Enclave of M5E,43.6464352,-79.374846
35,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
36,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
37,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599
38,M7Y,East Toronto Business,Enclave of M4L,43.6627439,-79.321558
